iter,flow in,turb,flow out,water level,colmat,act state 
0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0
4,100.9383624030167,0.0,0.0,0.0,0.0,1
5,100.14950346100663,0.0,0.0,0.0,0.0,1
6,101.00197630564041,0.0,0.0,0.0,0.0,1
7,100.43317502005677,0.0,0.0,0.0,0.0,1
8,100.70765782071605,0.0,0.0,0.0,0.0,1
9,101.31708973260167,0.0,0.0,0.0,0.0,1
10,101.07971258107894,0.0,101.07971258107894,0.0,0.0,2
11,0.0,0.0,0.0,0.0,0.0,2
12,0.0,0.0,0.0,0.0,0.0,2
13,0.0,0.0,0.0,0.0,0.0,2
14,0.0,0.0,0.0,0.0,0.0,2
15,0.0,0.0,0.0,0.0,0.0,2
16,100.78655358428341,0.0,100.78655358428341,0.0,0.0,2
17,101.56828006923006,0.0,101.56828006923006,0.0,0.0,2
18,101.56034091705304,0.0,101.56034091705304,0.0,0.0,2
19,100.67228272735429,0.0,100.67228272735429,0.0,0.0,2
20,100.56399498535768,0.0,100.56399498535768,0.0,0.0,2
21,100.21995002975449,0.0,100.21995002975449,0.0,0.0,2
22,100.52331419200739,0.0,100.52331419200739,0.0,0.0,2
23,101.05651731687301,0.0,101.05651731687301,0.0,0.0,2
24,101.59765247744883,0.0,101.59765247744883,0.0,0.0,2
25,100.25017144240375,0.0,100.25017144240375,0.0,0.0,2
26,101.30974561253663,0.0,101.30974561253663,0.0,0.0,2
27,101.0550307344414,0.0,101.0550307344414,0.0,0.0,2
28,100.02530401202756,0.0,100.02530401202756,0.0,0.0,2
29,100.44935617407948,0.0,100.44935617407948,0.0,0.0,2
30,101.45426040711224,0.0,101.45426040711224,0.0,0.0,2
31,100.99968400400574,0.0,100.99968400400574,0.0,0.0,2
32,101.26396146918144,0.0,101.26396146918144,0.0,0.0,2
33,100.16904386854253,0.0,100.16904386854253,0.0,0.0,2
34,101.21174111829475,0.0,101.21174111829475,0.0,0.0,2
35,100.39248587991604,0.0,100.39248587991604,0.0,0.0,2
36,101.02001961699482,0.0,101.02001961699482,0.0,0.0,2
37,100.43194271950371,0.0,100.43194271950371,0.0,0.0,2
38,100.04468033185564,0.0,100.04468033185564,0.0,0.0,2
39,100.76303575617742,0.0,100.76303575617742,0.0,0.0,2
40,100.27053869188933,0.0,100.27053869188933,0.0,0.0,2
41,101.44536693804478,0.0,101.44536693804478,0.0,0.0,2
42,101.49667021191931,0.0,101.49667021191931,0.0,0.0,2
43,100.91358091370678,0.0,100.91358091370678,0.0,0.0,2
44,101.5698367765766,0.0,101.5698367765766,0.0,0.0,2
45,100.3993475261009,0.0,100.3993475261009,0.0,0.0,2
46,100.0537638196601,0.0,100.0537638196601,0.0,0.0,2
47,101.50995007117649,0.0,101.50995007117649,0.0,0.0,2
48,100.44995716654152,0.0,100.44995716654152,0.0,0.0,2
49,101.10810201071455,0.0,101.10810201071455,0.0,0.0,2
50,100.55670730087836,0.0,100.55670730087836,0.0,0.0,2
51,101.07590933220926,0.0,101.07590933220926,0.0,0.0,2
52,100.27504711572249,0.0,100.27504711572249,0.0,0.0,2
53,101.65804010294094,0.0,101.65804010294094,0.0,0.0,2
54,100.03205403155505,0.0,100.03205403155505,0.0,0.0,2
55,101.64152019085867,0.0,101.64152019085867,0.0,0.0,2
56,100.01157151764693,0.0,100.01157151764693,0.0,0.0,2
57,101.09039193553231,0.0,101.09039193553231,0.0,0.0,2
58,100.12560190352218,0.0,100.12560190352218,0.0,0.0,2
59,101.24953035073406,0.0,101.24953035073406,0.0,0.0,2
60,100.32192464746254,0.0,100.32192464746254,0.0,0.0,2
61,101.27187072395996,0.0,101.27187072395996,0.0,0.0,2
62,100.64744150039327,0.0,100.64744150039327,0.0,0.0,2
63,100.57102775447038,0.0,100.57102775447038,0.0,0.0,2
64,100.84505626598161,0.0,100.84505626598161,0.0,0.0,2
65,100.49252372705564,0.0,100.49252372705564,0.0,0.0,2
66,101.07416548500453,0.0,101.07416548500453,0.0,0.0,2
67,100.35587272306056,0.0,100.35587272306056,0.0,0.0,2
68,100.49420058311739,0.0,100.49420058311739,0.0,0.0,2
69,100.97608475326969,0.0,100.97608475326969,0.0,0.0,2
70,100.53380256957882,0.0,100.53380256957882,0.0,0.0,2
71,100.34479035786755,0.0,100.34479035786755,0.0,0.0,2
72,101.41201787485137,0.0,101.41201787485137,0.0,0.0,2
73,100.06138289577126,0.0,100.06138289577126,0.0,0.0,2
74,101.15613669933862,0.0,101.15613669933862,0.0,0.0,2
75,100.26512200374405,0.0,100.26512200374405,0.0,0.0,2
76,100.87742964051415,0.0,100.87742964051415,0.0,0.0,2
77,100.9803550083949,0.0,100.9803550083949,0.0,0.0,2
78,101.37191676392496,0.0,101.37191676392496,0.0,0.0,2
79,101.28776879122846,0.0,101.28776879122846,0.0,0.0,2
80,100.62281604038265,0.0,100.62281604038265,0.0,0.0,2
81,100.58561823527087,0.0,100.58561823527087,0.0,0.0,2
82,101.45572698520022,0.0,101.45572698520022,0.0,0.0,2
83,100.1721442601684,0.0,100.1721442601684,0.0,0.0,2
84,101.36171675164458,0.0,101.36171675164458,0.0,0.0,2
85,101.40171703803527,0.0,101.40171703803527,0.0,0.0,2
86,101.66229959362033,0.0,101.66229959362033,0.0,0.0,2
87,101.6023197523146,0.0,101.6023197523146,0.0,0.0,2
88,100.17906265851298,0.0,100.17906265851298,0.0,0.0,2
89,100.65573587533142,0.0,100.65573587533142,0.0,0.0,2
90,100.37148224966745,0.0,100.37148224966745,0.0,0.0,2
91,100.25433084240916,0.0,100.25433084240916,0.0,0.0,2
92,101.4649390735264,0.0,101.4649390735264,0.0,0.0,2
93,101.15162647423072,0.0,101.15162647423072,0.0,0.0,2
94,100.73291857049696,0.0,100.73291857049696,0.0,0.0,2
95,101.26514593399746,0.0,101.26514593399746,0.0,0.0,2
96,101.61226762778419,0.0,101.61226762778419,0.0,0.0,2
97,101.32167457567584,0.0,101.32167457567584,0.0,0.0,2
98,101.05442914241765,0.0,101.05442914241765,0.0,0.0,2
99,100.99808330093721,0.0,100.99808330093721,0.0,0.0,2
100,100.41526604616008,0.0,100.41526604616008,0.0,0.0,2
101,101.18469033746943,0.0,101.18469033746943,0.0,0.0,2
102,101.60809519446276,0.0,101.60809519446276,0.0,0.0,2
103,100.98416208247987,0.0,100.98416208247987,0.0,0.0,2
104,101.33243336570125,0.0,101.33243336570125,0.0,0.0,2
105,100.59708098257143,0.0,100.59708098257143,0.0,0.0,2
106,100.30180796112587,0.0,100.30180796112587,0.0,0.0,2
107,101.66399073272278,0.0,101.66399073272278,0.0,0.0,2
108,100.18177868306246,0.0,100.18177868306246,0.0,0.0,2
109,101.09995776117313,0.0,101.09995776117313,0.0,0.0,2
110,100.11489465592489,0.0,100.11489465592489,0.0,0.0,2
111,100.72699657259017,0.0,0.0,0.0,0.0,3
112,100.7504000219701,0.0,0.0,0.0,0.0,3
113,101.17617046681652,0.0,0.0,0.0,0.0,3
